Function, X_shape, K, Loss Type,Execution Time
NMF_serial,5000,1, euclidean,5.39797616
NMF_sklearn,5000,1, euclidean,0.498785806
NMF_parallel,5000,1, divergence,1.383390613
NMF_serial,5000,1, divergence,23.42454422
NMF_sklearn,5000,1, divergence,6.14117527
NMF_parallel,5000,10, euclidean,0.972067291
NMF_serial,5000,10, euclidean,10.30143516
NMF_sklearn,5000,10, euclidean,5.514632797
NMF_parallel,5000,10, divergence,1.410717688
NMF_serial,5000,10, divergence,26.92521157
NMF_sklearn,5000,10, divergence,38.34653156
NMF_parallel,5000,100, euclidean,3.1512354
NMF_serial,5000,100, euclidean,20.06878386
NMF_sklearn,5000,100, euclidean,10.92336755
NMF_parallel,5000,100, divergence,3.574148779
NMF_serial,5000,100, divergence,36.60181463
NMF_sklearn,5000,100, divergence,48.1401614
NMF_parallel,5000,1000, euclidean,28.26629492
NMF_serial,5000,1000, euclidean,142.1715302
NMF_sklearn,5000,1000, euclidean,92.18601918
NMF_parallel,5000,1000, divergence,26.85336289
NMF_serial,5000,1000, divergence,148.0317919
NMF_sklearn,5000,1000, divergence,163.3109382
NMF_parallel,10000,1, euclidean,3.250833008
NMF_serial,10000,1, euclidean,21.55693138
NMF_sklearn,10000,1, euclidean,1.793971372
NMF_parallel,10000,1, divergence,5.058975781
NMF_serial,10000,1, divergence,82.16619663
NMF_sklearn,10000,1, divergence,23.57875495
NMF_parallel,10000,10, euclidean,3.3362073
NMF_serial,10000,10, euclidean,40.71775494
NMF_sklearn,10000,10, euclidean,4.109000134
NMF_parallel,10000,10, divergence,5.129283057
NMF_serial,10000,10, divergence,95.65252125
NMF_sklearn,10000,10, divergence,27.05773396
